"Revenue from Sales to Ultimate Customers (Thousand Dollars) by State by Provider, 1990-2015",,,,,,,,
Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2015,NC,Full-Service Providers,"6,531,847","4,210,468","1,804,121",684,NA,"12,547,119"
2015,ND,Full-Service Providers,"467,895","554,633","563,700",0,NA,"1,586,227"
2015,NE,Full-Service Providers,"1,010,527","807,429","808,820",0,NA,"2,626,776"
2015,NH,Full-Service Providers,"696,834","337,921","68,511",0,NA,"1,103,267"
2015,NJ,Full-Service Providers,"3,946,176","1,677,031","121,524","1,039",NA,"5,745,769"
2015,NM,Full-Service Providers,"828,169","914,719","479,753",0,NA,"2,222,641"
2015,NV,Full-Service Providers,"1,574,103","820,855","905,959",760,NA,"3,301,677"
2015,NY,Full-Service Providers,"7,385,309","4,264,392","187,230","48,776",NA,"11,885,706"
2015,OH,Full-Service Providers,"3,717,432","1,220,591","892,616",394,NA,"5,831,033"
2015,OK,Full-Service Providers,"2,293,592","1,588,067","964,329",0,NA,"4,845,987"
2015,OR,Full-Service Providers,"1,948,315","1,364,471","707,094","2,205",NA,"4,022,085"
2015,PA,Full-Service Providers,"4,617,728","1,179,627","226,016",0,NA,"6,023,371"
2015,RI,Full-Service Providers,"552,124","265,882","32,380",0,NA,"850,386"
2015,SC,Full-Service Providers,"3,778,451","2,239,686","1,774,038",0,NA,"7,792,175"
2015,SD,Full-Service Providers,"506,522","434,765","204,932",0,NA,"1,146,220"
2015,TN,Full-Service Providers,"4,291,880","3,553,029","1,418,464",0,NA,"9,263,373"
2015,TX,Full-Service Providers,"16,838,434","11,115,260","6,161,020","9,585",NA,"34,124,300"
2015,UT,Full-Service Providers,"992,264","1,001,542","580,074","5,589",NA,"2,579,468"
2015,VA,Full-Service Providers,"5,221,259","3,957,653","1,213,453","15,929",NA,"10,408,293"
2015,VT,Full-Service Providers,"356,986","292,344","146,022",0,NA,"795,352"
2015,WA,Full-Service Providers,"3,098,110","2,402,821","1,090,548",433,NA,"6,591,912"
2015,WI,Full-Service Providers,"2,994,383","2,561,808","1,816,081",28,NA,"7,372,300"
2015,WV,Full-Service Providers,"1,153,344","671,690","795,823",0,NA,"2,620,857"
2015,WY,Full-Service Providers,"293,517","358,000","697,582",0,NA,"1,349,099"
2015,US,Full-Service Providers,"162,856,995","113,224,509","54,786,906","169,947",NA,"331,038,357"
2015,CA,Restructured Retail Service Providers,"317,971","2,021,361","966,458","23,034",NA,"3,328,825"
2015,CT,Restructured Retail Service Providers,"994,831","1,525,019","351,337","25,399",NA,"2,896,586"
2015,DC,Restructured Retail Service Providers,"88,050","825,712","20,928","30,043",NA,"964,733"
2015,DE,Restructured Retail Service Providers,"52,082","219,603","111,624",0,NA,"383,309"
2015,IL,Restructured Retail Service Providers,"2,669,134","2,957,007","2,436,659","35,653",NA,"8,098,453"
2015,MA,Restructured Retail Service Providers,"974,263","2,863,012","648,099","27,410",NA,"4,512,784"
2015,MD,Restructured Retail Service Providers,"891,130","2,442,051","284,216","44,707",NA,"3,662,103"
2015,ME,Restructured Retail Service Providers,"175,161","285,908","265,259",0,NA,"726,328"
2015,MI,Restructured Retail Service Providers,63,"288,283","294,703",0,NA,"583,049"
2015,MT,Restructured Retail Service Providers,1,"8,114","97,434",0,NA,"105,548"
2015,NH,Restructured Retail Service Providers,"140,715","334,171","183,819",0,NA,"658,705"
2015,NJ,Restructured Retail Service Providers,"661,094","3,275,353","657,461","30,154",NA,"4,624,063"
2015,NV,Restructured Retail Service Providers,0,"68,577","42,668",0,NA,"111,245"
2015,NY,Restructured Retail Service Providers,"2,070,878","7,521,348","953,343","316,021",NA,"10,861,591"
2015,OH,Restructured Retail Service Providers,"2,873,137","3,522,592","2,656,121","2,655",NA,"9,054,505"
2015,OR,Restructured Retail Service Providers,0,"45,955","65,916",0,NA,"111,871"
2015,PA,Restructured Retail Service Providers,"2,805,417","3,019,574","3,185,800","60,692",NA,"9,071,482"
2015,RI,Restructured Retail Service Providers,"52,701","318,603","77,486","4,795",NA,"453,584"
2015,VA,Restructured Retail Service Providers,0,"11,892","5,283",0,NA,"17,175"
2015,WA,Restructured Retail Service Providers,0,"2,808","74,364",0,NA,"77,172"
2015,US,Restructured Retail Service Providers,"14,766,628","31,556,943","13,378,977","600,563",NA,"60,303,111"
2015,CA,Energy-Only Providers,"138,554","952,354","514,659","18,842",NA,"1,624,408"
2015,CT,Energy-Only Providers,"532,554","864,023","217,795","17,797",NA,"1,632,169"
2015,DC,Energy-Only Providers,"63,761","533,870","17,673","19,788",NA,"635,092"
2015,DE,Energy-Only Providers,"35,368","171,380","99,540",0,NA,"306,288"
2015,IL,Energy-Only Providers,"1,416,051","2,064,507","1,985,539","28,037",NA,"5,494,133"
2015,MA,Energy-Only Providers,"595,681","1,750,828","419,202","24,475",NA,"2,790,185"
2015,MD,Energy-Only Providers,"603,475","1,717,106","218,187","36,404",NA,"2,575,172"
2015,ME,Energy-Only Providers,"100,608","182,786","200,646",0,NA,"484,040"
2015,MI,Energy-Only Providers,31,"225,336","259,211",0,NA,"484,578"
2015,MT,Energy-Only Providers,0,"4,874","84,652",0,NA,"89,526"
2015,NH,Energy-Only Providers,"88,871","219,089","132,850",0,NA,"440,810"
2015,NJ,Energy-Only Providers,"478,621","2,200,994","443,101","22,534",NA,"3,145,250"
2015,NV,Energy-Only Providers,0,"65,808","40,929",0,NA,"106,737"
2015,NY,Energy-Only Providers,"1,065,983","4,033,569","686,471","185,433",NA,"5,971,457"
2015,OH,Energy-Only Providers,"1,548,763","2,107,973","2,031,631","1,810",NA,"5,690,177"
2015,OR,Energy-Only Providers,0,"28,071","47,756",0,NA,"75,827"
2015,PA,Energy-Only Providers,"1,728,230","2,328,546","2,780,781","49,449",NA,"6,887,006"
2015,RI,Energy-Only Providers,"31,518","193,030","47,912","2,737",NA,"275,198"
2015,VA,Energy-Only Providers,0,"10,741","4,929",0,NA,"15,670"
2015,WA,Energy-Only Providers,0,"2,262","64,842",0,NA,"67,104"
2015,US,Energy-Only Providers,"8,428,069","19,657,147","10,298,305","407,306",NA,"38,790,826"
2015,CA,Delivery-Only Service,"179,418","1,069,008","451,799","4,192",NA,"1,704,416"
2015,CT,Delivery-Only Service,"462,277","660,996","133,542","7,602",NA,"1,264,418"
2015,DC,Delivery-Only Service,"24,289","291,842","3,254","10,255",NA,"329,641"
2015,DE,Delivery-Only Service,"16,714","48,224","12,085",0,NA,"77,022"
2015,IL,Delivery-Only Service,"1,253,084","892,500","451,120","7,616",NA,"2,604,320"
2015,MA,Delivery-Only Service,"378,582","1,112,184","228,897","2,936",NA,"1,722,599"
2015,MD,Delivery-Only Service,"287,654","724,945","66,029","8,304",NA,"1,086,932"
2015,ME,Delivery-Only Service,"74,553","103,121","64,613",0,NA,"242,288"
2015,MI,Delivery-Only Service,32,"62,947","35,492",0,NA,"98,471"
2015,MT,Delivery-Only Service,0,"3,239","12,782",0,NA,"16,022"
2015,NH,Delivery-Only Service,"51,844","115,082","50,969",0,NA,"217,895"
2015,NJ,Delivery-Only Service,"182,473","1,074,359","214,361","7,621",NA,"1,478,813"
2015,NV,Delivery-Only Service,0,"2,769","1,739",0,NA,"4,508"
2015,NY,Delivery-Only Service,"1,004,895","3,487,779","266,872","130,588",NA,"4,890,134"
2015,OH,Delivery-Only Service,"1,324,374","1,414,619","624,490",845,NA,"3,364,328"
2015,OR,Delivery-Only Service,0,"17,885","18,160",0,NA,"36,044"
2015,PA,Delivery-Only Service,"1,077,187","691,028","405,018","11,242",NA,"2,184,476"
2015,RI,Delivery-Only Service,"21,183","125,572","29,574","2,057",NA,"178,386"
2015,VA,Delivery-Only Service,0,"1,151",354,0,NA,"1,505"
2015,WA,Delivery-Only Service,0,546,"9,522",0,NA,"10,068"
2015,US,Delivery-Only Service,"6,338,559","11,899,797","3,080,672","193,258",NA,"21,512,284"
2014,AK,Total Electric Industry,"391,068","472,078","212,988",0,NA,"1,076,133"
2014,AL,Total Electric Industry,"3,781,917","2,473,586","2,130,887",0,NA,"8,386,390"
2014,AR,Total Electric Industry,"1,753,284","964,795","1,002,428",49,NA,"3,720,556"
2014,AZ,Total Electric Industry,"3,848,998","2,967,741","947,683",0,NA,"7,764,422"
2014,CA,Total Electric Industry,"14,517,393","18,663,231","6,525,678","74,025",NA,"39,780,326"
2014,CO,Total Electric Industry,"2,203,838","2,029,053","1,129,370","6,910",NA,"5,369,170"
2014,CT,Total Electric Industry,"2,523,349","2,004,629","453,957","22,043",NA,"5,003,978"
2014,DC,Total Electric Industry,"263,973","1,042,419","20,367","29,119",NA,"1,355,878"
2014,DE,Total Electric Industry,"617,400","440,657","214,197",0,NA,"1,272,255"
2014,FL,Total Electric Industry,"13,854,538","9,169,986","1,306,052","8,760",NA,"24,339,336"
2014,GA,Total Electric Industry,"6,659,464","4,827,025","2,115,659","11,527",NA,"13,613,674"
2014,HI,Total Electric Industry,"957,073","1,095,476","1,114,946",0,NA,"3,167,495"
2014,IA,Total Electric Industry,"1,610,036","1,070,319","1,166,905",0,NA,"3,847,259"
2014,ID,Total Electric Industry,"791,099","476,481","573,888",0,NA,"1,841,468"
2014,IL,Total Electric Industry,"5,481,125","4,687,910","3,037,246","39,853",NA,"13,246,133"
2014,IN,Total Electric Industry,"3,861,636","2,403,018","3,419,485","2,091",NA,"9,686,229"
2014,KS,Total Electric Industry,"1,665,583","1,558,211","896,511",0,NA,"4,120,305"
2014,KY,Total Electric Industry,"2,785,001","1,807,976","1,832,517",0,NA,"6,425,494"
2014,LA,Total Electric Industry,"3,005,472","2,229,210","2,099,881","1,068",NA,"7,335,630"
2014,MA,Total Electric Industry,"3,490,569","3,827,051","1,014,262","31,636",NA,"8,363,519"
2014,MD,Total Electric Industry,"3,746,115","3,324,584","347,692","46,246",NA,"7,464,636"
2014,ME,Total Electric Industry,"711,813","506,147","300,412",0,NA,"1,518,372"
2014,MI,Total Electric Industry,"4,846,496","4,060,031","2,491,113",400,NA,"11,398,040"
2014,MN,Total Electric Industry,"2,737,895","2,249,026","1,551,691","2,321",NA,"6,540,932"
2014,MO,Total Electric Industry,"3,807,788","2,728,701","1,106,218","1,700",NA,"7,644,407"
2014,MS,Total Electric Industry,"2,141,264","1,525,368","1,077,019",0,NA,"4,743,652"
2014,MT,Total Electric Industry,"505,962","472,750","232,314",0,NA,"1,211,025"
2014,NC,Total Electric Industry,"6,511,383","4,157,748","1,751,829",680,NA,"12,421,640"
2014,ND,Total Electric Industry,"490,071","474,723","569,870",0,NA,"1,534,664"
2014,NE,Total Electric Industry,"1,043,023","831,284","797,052",0,NA,"2,671,358"
2014,NH,Total Electric Industry,"790,656","640,173","234,900",0,NA,"1,665,729"
2014,NJ,Total Electric Industry,"4,400,228","5,015,629","855,757","31,575",NA,"10,303,188"
2014,NM,Total Electric Industry,"812,034","921,898","497,592",0,NA,"2,231,524"
2014,NV,Total Electric Industry,"1,541,121","892,029","977,320",768,NA,"3,411,238"
2014,NY,Total Electric Industry,"10,031,316","12,340,776","1,184,255","394,180",NA,"23,950,528"
2014,OH,Total Electric Industry,"6,598,181","4,618,293","3,440,917","3,646",NA,"14,661,037"
2014,OK,Total Electric Industry,"2,343,199","1,654,314","1,038,884",0,NA,"5,036,397"
2014,OR,Total Electric Industry,"1,948,732","1,403,691","755,416","2,160",NA,"4,109,998"
2014,PA,Total Electric Industry,"7,217,831","4,215,606","3,580,987","63,255",NA,"15,077,678"
2014,RI,Total Electric Industry,"527,116","532,579","114,111","4,158",NA,"1,177,963"
2014,SC,Total Electric Industry,"3,824,288","2,225,574","1,839,963",0,NA,"7,889,824"
2014,SD,Total Electric Industry,"505,345","406,420","206,414",0,NA,"1,118,180"
2014,TN,Total Electric Industry,"4,392,023","3,476,761","1,548,714",100,NA,"9,417,597"
2014,TX,Total Electric Industry,"16,715,817","11,379,847","6,727,425","8,909",NA,"34,831,998"
2014,UT,Total Electric Industry,"954,231","943,134","606,015","6,274",NA,"2,509,653"
2014,VA,Total Electric Industry,"5,155,281","3,892,715","1,219,659","16,642",NA,"10,284,297"
2014,VT,Total Electric Industry,"370,673","295,698","145,111",0,NA,"811,481"
2014,WA,Total Electric Industry,"3,040,586","2,313,564","1,211,294",401,NA,"6,565,845"
2014,WI,Total Electric Industry,"2,996,152","2,558,476","1,790,586",0,NA,"7,345,214"
2014,WV,Total Electric Industry,"1,119,698","629,468","753,085",0,NA,"2,502,251"
2014,WY,Total Electric Industry,"288,879","355,296","686,237",0,NA,"1,330,413"
2014,US,Total Electric Industry,"176,178,008","145,253,154","70,854,754","810,494",NA,"393,096,410"
2014,AK,Full-Service Providers,"391,068","472,078","212,988",0,NA,"1,076,133"
2014,AL,Full-Service Providers,"3,781,917","2,473,586","2,130,887",0,NA,"8,386,390"
2014,AR,Full-Service Providers,"1,753,284","964,795","1,002,428",49,NA,"3,720,556"
2014,AZ,Full-Service Providers,"3,848,998","2,967,741","947,683",0,NA,"7,764,422"
2014,CA,Full-Service Providers,"14,399,283","16,681,534","5,440,378","50,280",NA,"36,571,475"
2014,CO,Full-Service Providers,"2,203,838","2,029,053","1,129,370","6,910",NA,"5,369,170"
2014,CT,Full-Service Providers,"1,463,082","567,409","127,144","9,285",NA,"2,166,921"
2014,DC,Full-Service Providers,"216,578","157,003",0,0,NA,"373,581"
2014,DE,Full-Service Providers,"566,762","189,919","87,303",0,NA,"843,985"
2014,FL,Full-Service Providers,"13,854,538","9,169,986","1,306,052","8,760",NA,"24,339,336"
2014,GA,Full-Service Providers,"6,659,464","4,827,025","2,115,659","11,527",NA,"13,613,674"
2014,HI,Full-Service Providers,"957,073","1,095,476","1,114,946",0,NA,"3,167,495"
2014,IA,Full-Service Providers,"1,610,036","1,070,319","1,166,905",0,NA,"3,847,259"
2014,ID,Full-Service Providers,"791,099","476,481","573,888",0,NA,"1,841,468"
2014,IL,Full-Service Providers,"2,451,770","1,567,066","486,071",0,NA,"4,504,907"
2014,IN,Full-Service Providers,"3,861,636","2,403,018","3,419,485","2,091",NA,"9,686,229"
2014,KS,Full-Service Providers,"1,665,583","1,558,211","896,511",0,NA,"4,120,305"
2014,KY,Full-Service Providers,"2,785,001","1,807,976","1,832,517",0,NA,"6,425,494"
2014,LA,Full-Service Providers,"3,005,472","2,229,210","2,099,881","1,068",NA,"7,335,630"
2014,MA,Full-Service Providers,"2,885,568","1,423,783","443,960",56,NA,"4,753,366"
2014,MD,Full-Service Providers,"2,782,977","950,332","62,854",0,NA,"3,796,162"
2014,ME,Full-Service Providers,"11,901","5,781","3,428",0,NA,"21,110"
2014,MI,Full-Service Providers,"4,846,415","3,749,733","2,041,362",400,NA,"10,637,911"
2014,MN,Full-Service Providers,"2,737,895","2,249,026","1,551,691","2,321",NA,"6,540,932"
2014,MO,Full-Service Providers,"3,807,788","2,728,701","1,106,218","1,700",NA,"7,644,407"
2014,MS,Full-Service Providers,"2,141,264","1,525,368","1,077,019",0,NA,"4,743,652"
2014,MT,Full-Service Providers,"505,961","464,588","125,495",0,NA,"1,096,043"
2014,NC,Full-Service Providers,"6,511,383","4,157,748","1,751,829",680,NA,"12,421,640"
2014,ND,Full-Service Providers,"490,071","474,723","569,870",0,NA,"1,534,664"
2014,NE,Full-Service Providers,"1,043,023","831,284","797,052",0,NA,"2,671,358"
2014,NH,Full-Service Providers,"655,272","328,011","70,548",0,NA,"1,053,831"
2014,NJ,Full-Service Providers,"3,584,435","1,557,351","141,131",0,NA,"5,282,917"
2014,NM,Full-Service Providers,"812,034","921,898","497,592",0,NA,"2,231,524"
2014,NV,Full-Service Providers,"1,541,121","819,604","929,333",768,NA,"3,290,826"
2014,NY,Full-Service Providers,"7,807,078","4,783,744","241,417","56,649",NA,"12,888,888"
2014,OH,Full-Service Providers,"3,768,287","1,271,409","978,188",463,NA,"6,018,347"
2014,OK,Full-Service Providers,"2,343,199","1,654,314","1,038,884",0,NA,"5,036,397"
2014,OR,Full-Service Providers,"1,948,732","1,350,714","681,999","2,160",NA,"3,983,604"
2014,PA,Full-Service Providers,"4,289,816","1,153,242","258,402",0,NA,"5,701,460"
2014,RI,Full-Service Providers,"493,737","296,662","40,819",0,NA,"831,218"
2014,SC,Full-Service Providers,"3,824,288","2,225,574","1,839,963",0,NA,"7,889,824"
2014,SD,Full-Service Providers,"505,345","406,420","206,414",0,NA,"1,118,180"
2014,TN,Full-Service Providers,"4,392,023","3,476,761","1,548,714",100,NA,"9,417,597"
2014,TX,Full-Service Providers,"16,715,817","11,379,847","6,727,425","8,909",NA,"34,831,998"
2014,UT,Full-Service Providers,"954,231","943,134","606,015","6,274",NA,"2,509,653"
2014,VA,Full-Service Providers,"5,155,281","3,889,781","1,219,030","16,642",NA,"10,280,733"
2014,VT,Full-Service Providers,"370,673","295,698","145,111",0,NA,"811,481"
2014,WA,Full-Service Providers,"3,040,586","2,313,564","1,118,420",401,NA,"6,472,971"
2014,WI,Full-Service Providers,"2,996,152","2,558,476","1,790,586",0,NA,"7,345,214"
2014,WV,Full-Service Providers,"1,119,698","629,468","753,085",0,NA,"2,502,251"
2014,WY,Full-Service Providers,"288,879","355,296","686,237",0,NA,"1,330,413"
2014,US,Full-Service Providers,"160,637,408","113,879,920","57,140,182","187,492",NA,"331,845,003"
2014,CA,Restructured Retail Service Providers,"118,110","1,981,697","1,085,300","23,744",NA,"3,208,851"
2014,CT,Restructured Retail Service Providers,"1,060,267","1,437,220","326,813","12,758",NA,"2,837,057"
2014,DC,Restructured Retail Service Providers,"47,395","885,416","20,367","29,119",NA,"982,297"
2014,DE,Restructured Retail Service Providers,"50,638","250,738","126,894",0,NA,"428,270"
2014,IL,Restructured Retail Service Providers,"3,029,355","3,120,844","2,551,175","39,853",NA,"8,741,227"
2014,MA,Restructured Retail Service Providers,"605,002","2,403,268","570,303","31,581",NA,"3,610,153"
2014,MD,Restructured Retail Service Providers,"963,138","2,374,252","284,839","46,246",NA,"3,668,475"
2014,ME,Restructured Retail Service Providers,"699,912","500,366","296,984",0,NA,"1,497,262"
2014,MI,Restructured Retail Service Providers,81,"310,298","449,751",0,NA,"760,129"
2014,MT,Restructured Retail Service Providers,1,"8,162","106,819",0,NA,"114,982"
2014,NH,Restructured Retail Service Providers,"135,384","312,162","164,351",0,NA,"611,897"
2014,NJ,Restructured Retail Service Providers,"815,793","3,458,278","714,626","31,575",NA,"5,020,271"
2014,NV,Restructured Retail Service Providers,0,"72,425","47,987",0,NA,"120,412"
2014,NY,Restructured Retail Service Providers,"2,224,238","7,557,032","942,838","337,532",NA,"11,061,640"
2014,OH,Restructured Retail Service Providers,"2,829,895","3,346,884","2,462,730","3,183",NA,"8,642,691"
2014,OR,Restructured Retail Service Providers,0,"52,977","73,417",0,NA,"126,393"
2014,PA,Restructured Retail Service Providers,"2,928,015","3,062,364","3,322,585","63,255",NA,"9,376,218"
2014,RI,Restructured Retail Service Providers,"33,378","235,917","73,292","4,158",NA,"346,745"
2014,VA,Restructured Retail Service Providers,0,"2,934",630,0,NA,"3,564"
2014,WA,Restructured Retail Service Providers,0,0,"92,874",0,NA,"92,874"
2014,US,Restructured Retail Service Providers,"15,540,600","31,373,234","13,714,572","623,002",NA,"61,251,407"
2014,CA,Energy-Only Providers,"54,974","1,006,571","637,209","19,632",NA,"1,718,386"
2014,CT,Energy-Only Providers,"577,551","784,524","198,296","8,516",NA,"1,568,886"
2014,DC,Energy-Only Providers,"33,994","585,692","17,046","18,899",NA,"655,631"
2014,DE,Energy-Only Providers,"33,950","195,625","114,308",0,NA,"343,883"
2014,IL,Energy-Only Providers,"1,714,309","2,299,763","2,139,377","32,386",NA,"6,185,835"
2014,MA,Energy-Only Providers,"340,747","1,407,647","354,599","28,497",NA,"2,131,490"
2014,MD,Energy-Only Providers,"662,749","1,707,952","225,117","38,245",NA,"2,634,063"
2014,ME,Energy-Only Providers,"339,041","302,064","222,367",0,NA,"863,471"
2014,MI,Energy-Only Providers,42,"225,671","397,718",0,NA,"623,430"
2014,MT,Energy-Only Providers,0,"5,032","94,196",0,NA,"99,228"
2014,NH,Energy-Only Providers,"82,117","204,444","116,036",0,NA,"402,598"
2014,NJ,Energy-Only Providers,"596,448","2,302,986","489,457","22,998",NA,"3,411,888"
2014,NV,Energy-Only Providers,0,"69,378","46,423",0,NA,"115,801"
2014,NY,Energy-Only Providers,"1,200,519","4,218,637","690,556","209,921",NA,"6,319,633"
2014,OH,Energy-Only Providers,"1,530,066","2,037,703","1,915,846","2,487",NA,"5,486,102"
2014,OR,Energy-Only Providers,0,"32,424","53,467",0,NA,"85,891"
2014,PA,Energy-Only Providers,"1,893,483","2,421,544","2,970,985","52,686",NA,"7,338,698"
