,State,Year,Avgwindspeed
131,CT,2001,2.550941176470588
132,CT,2002,3.158295454545453
133,CT,2003,3.8175000000000003
134,CT,2004,3.6985882352941157
135,CT,2005,3.7428571428571424
136,CT,2006,3.852222222222222
137,CT,2007,3.0472222222222216
138,CT,2008,4.360568181818182
139,CT,2009,3.6261052631578954
140,CT,2010,3.3327083333333323
141,CT,2011,4.185368421052631
142,CT,2012,2.908333333333332
143,CT,2013,3.063750000000001
144,CT,2014,2.8590625000000003
145,CT,2015,2.4701041666666654
146,CT,2016,2.5595402298850574
147,DC,1996,5.118333333333333
148,DC,1997,2.459166666666667
149,DC,1998,2.2943478260869568
150,DC,1999,3.437391304347825
151,DC,2000,2.8366666666666673
152,DC,2001,2.7858333333333327
153,DC,2002,2.783636363636364
154,DC,2003,4.984615384615385
155,DC,2004,2.977727272727273
156,DC,2005,3.154166666666667
157,DC,2006,3.0525
158,DC,2007,2.4341176470588235
159,DC,2008,3.989545454545454
160,DC,2009,3.862173913043477
161,DC,2010,2.949565217391304
162,DC,2011,3.506666666666666
163,DC,2012,2.8458333333333337
164,DC,2013,3.742500000000001
165,DC,2014,3.7095652173913045
166,DC,2015,3.5195833333333346
167,DC,2016,2.776666666666667
168,DE,1996,3.646666666666667
169,DE,1997,2.029166666666667
170,DE,1998,1.8490909090909098
171,DE,1999,2.4291666666666663
172,DE,2000,2.6816666666666666
173,DE,2001,2.66
174,DE,2002,2.922727272727272
175,DE,2003,4.748571428571428
176,DE,2004,3.550454545454546
177,DE,2005,3.1304166666666666
178,DE,2006,3.6525000000000003
179,DE,2007,3.006666666666666
180,DE,2008,2.9959090909090906
181,DE,2009,4.3654166666666665
182,DE,2010,3.1133333333333333
183,DE,2011,2.999166666666667
184,DE,2012,2.2687499999999994
185,DE,2013,3.5749999999999997
186,DE,2014,3.6987500000000018
187,DE,2015,3.6254166666666663
188,DE,2016,3.7134782608695645
189,FL,1996,3.314545454545454
190,FL,1997,3.6560546874999984
191,FL,1998,3.607639751552799
192,FL,1999,3.000943396226416
193,FL,2000,2.3577538461538445
194,FL,2001,3.770175054704597
195,FL,2002,4.1105773672055435
196,FL,2003,3.9986738351254485
197,FL,2004,3.831301369863011
198,FL,2005,4.339302832244006
199,FL,2006,2.8881232492997193
200,FL,2007,3.695758928571432
201,FL,2008,3.9164727954971856
202,FL,2009,4.022376910016975
203,FL,2010,3.5624525043177915
204,FL,2011,3.418270547945205
205,FL,2012,4.241968641114977
206,FL,2013,4.108034482758622
207,FL,2014,4.355017421602783
208,FL,2015,3.9927189781021877
209,FL,2016,4.045860735009671
210,GA,1996,2.6492727272727272
211,GA,1997,3.335166666666666
212,GA,1998,3.2740310077519377
213,GA,1999,2.593521126760564
214,GA,2000,2.5216806722689076
215,GA,2001,3.0328358208955217
216,GA,2002,3.251808510638298
217,GA,2003,4.706050420168066
218,GA,2004,3.6087700534759355
219,GA,2005,3.932731958762885
220,GA,2006,3.018028169014083
221,GA,2007,2.9789743589743614
222,GA,2008,3.4326701570680616
223,GA,2009,4.861146788990826
224,GA,2010,3.0260483870967736
225,GA,2011,2.8976494023904387
226,GA,2012,3.1102380952380972
227,GA,2013,4.741760000000001
228,GA,2014,3.74888888888889
229,GA,2015,4.467510373443983
230,GA,2016,3.2478481012658205
231,HI,1996,2.9473333333333334
232,HI,1997,1.7700000000000002
233,HI,1998,2.579298245614036
234,HI,1999,2.794062500000001
235,HI,2000,2.4617741935483877
236,HI,2001,2.1834523809523807
237,HI,2002,2.804155844155844
238,HI,2003,2.524489795918367
239,HI,2004,3.422987012987013
240,HI,2005,2.3798734177215195
241,HI,2006,2.491428571428571
242,HI,2007,2.234819277108434
243,HI,2008,1.948363636363636
244,HI,2009,2.4301724137931036
245,HI,2010,2.0653284671532854
246,HI,2011,2.5491666666666672
247,HI,2012,2.1295798319327734
248,HI,2013,2.085508474576271
249,HI,2014,2.962268907563026
250,HI,2015,3.42008695652174
251,HI,2016,3.057142857142858
252,IA,1996,1.567551020408163
253,IA,1997,1.4225757575757576
254,IA,1998,1.9148366013071882
255,IA,1999,1.5987499999999997
256,IA,2000,1.7183064516129039
257,IA,2001,2.444833333333333
258,IA,2002,2.3930303030303013
259,IA,2003,2.2798095238095244
260,IA,2004,2.7452727272727273
261,IA,2005,1.860677966101695
262,IA,2006,2.2380645161290316
263,IA,2007,3.0739999999999994
264,IA,2008,3.3957228915662645
265,IA,2009,3.1807065217391313
266,IA,2010,3.2792187500000023
267,IA,2011,2.315
268,IA,2012,1.985
269,IA,2013,2.5168617021276583
270,IA,2014,3.0257073170731683
271,IA,2015,3.0895000000000006
272,IA,2016,3.0494974874371845
273,ID,1996,1.0095454545454545
274,ID,1997,0.9721126760563378
275,ID,1998,1.2535384615384615
276,ID,1999,1.0366153846153852
277,ID,2000,1.0910091743119263
278,ID,2001,0.7730769230769231
279,ID,2002,0.8433802816901405
280,ID,2003,1.2484615384615385
281,ID,2004,1.087132867132867
282,ID,2005,1.3628169014084504
283,ID,2006,1.2655357142857142
284,ID,2007,1.025371900826446
285,ID,2008,1.004689655172414
286,ID,2009,1.14
287,ID,2010,1.3368156424581006
288,ID,2011,1.2416574585635365
289,ID,2012,1.3668131868131872
290,ID,2013,0.8427071823204422
291,ID,2014,1.367237569060773
292,ID,2015,1.1086111111111105
293,ID,2016,1.3284302325581394
294,IL,1996,1.9962857142857149
295,IL,1997,1.9997087378640774
296,IL,1998,2.529463087248322
297,IL,1999,2.2611111111111124
298,IL,2000,2.3305755395683443
299,IL,2001,2.7921078431372544
300,IL,2002,2.3578723404255313
301,IL,2003,2.7594067796610164
302,IL,2004,2.7858823529411767
303,IL,2005,1.8495566502463046
304,IL,2006,2.670000000000001
305,IL,2007,2.7428387096774194
306,IL,2008,3.707606382978725
307,IL,2009,3.615539906103288
308,IL,2010,2.941052631578945
309,IL,2011,3.1060869565217404
310,IL,2012,2.2114042553191493
311,IL,2013,3.0972961373390566
312,IL,2014,2.9258695652173885
313,IL,2015,3.460745614035087
314,IL,2016,2.9089400921658966
315,IN,1996,3.433333333333334
316,IN,1997,2.413484848484848
317,IN,1998,2.8127586206896544
318,IN,1999,2.2363235294117643
319,IN,2000,2.786509433962266
320,IN,2001,3.1581944444444434
321,IN,2002,3.0887022900763355
322,IN,2003,2.893690476190475
323,IN,2004,3.0641984732824428
324,IN,2005,2.867328244274808
325,IN,2006,3.3938888888888896
326,IN,2007,2.884821428571428
327,IN,2008,3.7884848484848472
328,IN,2009,3.3820833333333353
329,IN,2010,2.6968750000000012
330,IN,2011,4.03326388888889
331,IN,2012,2.5302777777777785
332,IN,2013,3.2375694444444454
333,IN,2014,3.3486013986014007
334,IN,2015,3.4042361111111106
335,IN,2016,3.5778030303030297
336,KS,1996,1.9327272727272722
337,KS,1997,1.820197044334975
338,KS,1998,2.227540322580644
339,KS,1999,2.217959183673468
340,KS,2000,1.9366494845360838
341,KS,2001,2.1188973384030407
342,KS,2002,1.7660165975103728
343,KS,2003,2.1875324675324683
344,KS,2004,2.614232365145228
345,KS,2005,2.0906374501992024
346,KS,2006,1.6532786885245903
347,KS,2007,2.3603773584905667
348,KS,2008,2.9816141732283445
349,KS,2009,2.7956939501779363
350,KS,2010,2.2049152542372874
351,KS,2011,1.783724832214765
352,KS,2012,1.6001337792642139
353,KS,2013,2.2804026845637577
354,KS,2014,2.0123728813559323
355,KS,2015,2.761774744027304
356,KS,2016,2.4923741007194242
357,KY,1996,4.005
358,KY,1997,3.3959550561797753
359,KY,1998,3.7567741935483854
360,KY,1999,2.828404255319149
361,KY,2000,3.3078666666666665
362,KY,2001,3.4804629629629633
363,KY,2002,3.8710999999999998
364,KY,2003,4.438730158730159
365,KY,2004,4.2982828282828285
366,KY,2005,2.8855238095238076
367,KY,2006,3.951686746987952
368,KY,2007,3.214117647058822
369,KY,2008,3.714848484848483
370,KY,2009,4.1253448275862095
371,KY,2010,3.3313636363636383
372,KY,2011,5.118421052631577
373,KY,2012,3.284642857142856
374,KY,2013,4.270785714285714
375,KY,2014,3.819124087591242
376,KY,2015,4.828467153284672
377,KY,2016,3.8649253731343274
378,LA,1996,4.684000000000001
379,LA,1997,4.785333333333336
380,LA,1998,4.249454545454545
381,LA,1999,3.205588235294117
382,LA,2000,3.014661016949153
383,LA,2001,4.404545454545455
384,LA,2002,4.265197368421052
385,LA,2003,3.8990625000000008
386,LA,2004,4.77253246753247
387,LA,2005,3.1587857142857145
388,LA,2006,3.898914728682171
389,LA,2007,3.5430061349693265
390,LA,2008,3.927165775401071
391,LA,2009,4.82018181818182
392,LA,2010,3.148034188034189
393,LA,2011,2.7901739130434775
394,LA,2012,4.703668122270745
395,LA,2013,4.427797356828192
396,LA,2014,3.8384090909090913
397,LA,2015,5.0317307692307685
398,LA,2016,5.1659999999999995
399,MA,1996,3.067105263157895
400,MA,1997,2.166703296703296
401,MA,1998,3.1459428571428574
402,MA,1999,2.845000000000001
403,MA,2000,3.368529411764704
404,MA,2001,2.957763157894737
405,MA,2002,3.405215311004785
406,MA,2003,3.8221212121212105
407,MA,2004,3.4607692307692313
408,MA,2005,4.012500000000001
409,MA,2006,3.208627450980392
410,MA,2007,3.1256470588235294
411,MA,2008,4.163732057416265
412,MA,2009,3.7412272727272735
413,MA,2010,3.4829166666666658
414,MA,2011,3.7875813953488393
415,MA,2012,2.9928372093023263
416,MA,2013,3.2663888888888875
417,MA,2014,3.528454545454548
418,MA,2015,2.8936866359446993
419,MA,2016,2.756237113402062
420,MD,1996,5.366666666666667
421,MD,1997,3.108181818181819
422,MD,1998,1.8281818181818181
423,MD,1999,2.7225641025641028
424,MD,2000,2.813428571428571
425,MD,2001,2.322321428571428
426,MD,2002,3.0931481481481486
427,MD,2003,4.538857142857142
428,MD,2004,3.285454545454545
429,MD,2005,3.1076271186440687
430,MD,2006,3.5063999999999997
431,MD,2007,2.511168831168831
432,MD,2008,3.21979797979798
433,MD,2009,3.6741666666666664
434,MD,2010,2.947407407407408
435,MD,2011,3.561121495327102
436,MD,2012,2.991214953271026
437,MD,2013,3.2199019607843145
438,MD,2014,3.2310416666666675
439,MD,2015,3.4
440,MD,2016,3.214137931034483
441,ME,1996,2.7003030303030298
442,ME,1997,2.027428571428571
443,ME,1998,2.486923076923077
444,ME,1999,2.532967032967033
445,ME,2000,2.26578947368421
446,ME,2001,1.9124166666666664
447,ME,2002,2.832293577981651
448,ME,2003,2.8160000000000003
449,ME,2004,2.9812727272727253
450,ME,2005,4.166126126126127
451,ME,2006,3.5740229885057473
452,ME,2007,3.188834951456311
453,ME,2008,3.707603305785124
454,ME,2009,3.5736428571428567
455,ME,2010,3.5479720279720275
456,ME,2011,3.3534722222222215
457,ME,2012,3.39986111111111
458,ME,2013,3.336597222222223
459,ME,2014,3.7891608391608393
460,ME,2015,3.230985915492956
461,ME,2016,3.0389781021897795
462,MI,1996,2.0709433962264145
463,MI,1997,2.183548387096774
464,MI,1998,1.7647999999999993
465,MI,1999,1.9835294117647049
466,MI,2000,2.197247706422019
467,MI,2001,2.3399378881987563
468,MI,2002,1.943412162162162
469,MI,2003,2.0949206349206353
470,MI,2004,2.348163265306123
471,MI,2005,1.911182108626198
472,MI,2006,2.598715953307394
473,MI,2007,2.1879457364341084
474,MI,2008,2.6332996632996624
475,MI,2009,2.4890577507598777
476,MI,2010,2.2442388059701504
477,MI,2011,2.6824550898203596
478,MI,2012,2.1102388059701496
479,MI,2013,2.778429003021149
480,MI,2014,2.462732732732735
481,MI,2015,2.190577507598784
482,MI,2016,2.6055624999999987
483,MN,1996,2.086792452830189
484,MN,1997,1.4538596491228073
485,MN,1998,2.0375
486,MN,1999,2.0017808219178077
487,MN,2000,1.677016129032258
488,MN,2001,1.9393854748603354
489,MN,2002,2.4019753086419757
490,MN,2003,1.62495145631068
491,MN,2004,1.9395731707317074
492,MN,2005,2.382000000000001
493,MN,2006,1.5013432835820897
494,MN,2007,2.238417266187049
495,MN,2008,2.060975609756098
496,MN,2009,1.9699999999999998
497,MN,2010,2.6386458333333342
498,MN,2011,1.7343523316062195
499,MN,2012,2.2311734693877545
500,MN,2013,2.262227979274613
501,MN,2014,2.5871859296482413
502,MN,2015,2.4135643564356415
503,MN,2016,2.737821782178219
504,MO,1996,2.7296774193548385
505,MO,1997,1.8807999999999998
506,MO,1998,2.855051020408164
507,MO,1999,2.3938613861386147
508,MO,2000,2.3705228758169947
509,MO,2001,3.1860784313725485
510,MO,2002,2.8377435897435865
511,MO,2003,3.207698412698414
512,MO,2004,3.2711167512690342
513,MO,2005,2.7663981042654067
514,MO,2006,2.4958940397350986
515,MO,2007,2.625421686746989
516,MO,2008,4.4067171717171725
517,MO,2009,3.790917431192661
518,MO,2010,3.195000000000002
519,MO,2011,3.1978947368421045
520,MO,2012,2.2983333333333325
521,MO,2013,3.287929515418502
522,MO,2014,2.873362831858406
523,MO,2015,4.019733333333333
524,MO,2016,3.1070754716981135
525,MS,1996,3.5866666666666673
526,MS,1997,3.747733333333333
527,MS,1998,3.4959210526315796
528,MS,1999,3.201948051948052
529,MS,2000,3.3014285714285707
530,MS,2001,4.59479674796748
531,MS,2002,4.853636363636361
532,MS,2003,5.194285714285713
533,MS,2004,4.304049586776859
534,MS,2005,3.561249999999999
535,MS,2006,3.9837864077669907
536,MS,2007,3.3771052631578953
537,MS,2008,4.257593984962404
538,MS,2009,5.111891891891891
539,MS,2010,3.400322580645162
540,MS,2011,3.4711249999999993
541,MS,2012,4.833294797687865
542,MS,2013,4.655549132947978
543,MS,2014,4.368882352941175
544,MS,2015,4.6954268292682935
545,MS,2016,4.22883435582822
546,MT,1996,0.9193181818181817
547,MT,1997,0.9767647058823529
548,MT,1998,0.94044776119403
549,MT,1999,0.7802290076335879
550,MT,2000,0.7406956521739132
551,MT,2001,0.8024137931034481
552,MT,2002,0.9092473118279567
553,MT,2003,0.9666666666666663
554,MT,2004,0.9691978609625668
555,MT,2005,0.9917346938775509
556,MT,2006,0.8367832167832164
557,MT,2007,0.797987421383648
558,MT,2008,1.0099502487562184
559,MT,2009,0.9155156950672644
560,MT,2010,1.272071713147409
561,MT,2011,1.2729083665338645
562,MT,2012,0.9057936507936514
563,MT,2013,1.2425506072874495
564,MT,2014,1.2875918367346941
565,MT,2015,1.0330042918454936
566,MT,2016,1.2365957446808509
567,NC,1996,5.093863636363635
568,NC,1997,3.86108695652174
569,NC,1998,3.5309482758620696
570,NC,1999,3.1096938775510203
571,NC,2000,2.793801169590641
572,NC,2001,2.5075833333333337
573,NC,2002,3.3185909090909105
574,NC,2003,4.544890510948903
575,NC,2004,3.2339090909090915
576,NC,2005,3.152387387387387
577,NC,2006,3.577241379310344
578,NC,2007,2.3603738317757017
579,NC,2008,3.330909090909092
580,NC,2009,3.812992700729926
581,NC,2010,3.407719298245615
582,NC,2011,3.050696864111499
583,NC,2012,3.3770383275261335
584,NC,2013,4.038908450704228
585,NC,2014,3.693259259259259
586,NC,2015,4.646
587,NC,2016,3.842720306513408
588,ND,1996,1.2466666666666666
589,ND,1997,1.1721951219512197
590,ND,1998,1.3653731343283582
591,ND,1999,1.1305970149253735
592,ND,2000,1.4526785714285713
593,ND,2001,1.2815463917525776
594,ND,2002,1.0488888888888885
595,ND,2003,0.9463492063492064
596,ND,2004,1.292929292929293
597,ND,2005,1.411388888888889
598,ND,2006,0.8831250000000004
599,ND,2007,1.2683333333333333
600,ND,2008,1.4879797979797977
601,ND,2009,1.506607142857143
602,ND,2010,1.7827731092436971
603,ND,2011,1.5514285714285707
604,ND,2012,1.09625
605,ND,2013,1.920847457627117
606,ND,2014,1.6505128205128217
607,ND,2015,1.286974789915967
608,ND,2016,1.4844915254237294
609,NE,1996,1.7677777777777777
610,NE,1997,1.2946268656716418
611,NE,1998,1.7352447552447545
612,NE,1999,1.4406944444444443
613,NE,2000,1.4247368421052629
614,NE,2001,1.5581372549019608
615,NE,2002,1.2174193548387091
616,NE,2003,1.7144915254237292
617,NE,2004,1.5286096256684494
618,NE,2005,1.634040404040404
619,NE,2006,1.1275694444444444
620,NE,2007,1.9614193548387089
621,NE,2008,2.193157894736843
622,NE,2009,1.8817727272727276
623,NE,2010,2.066693548387097
624,NE,2011,1.743190661478599
625,NE,2012,1.0988775510204079
626,NE,2013,1.7934154929577457
627,NE,2014,2.054265734265734
628,NE,2015,2.239858657243817
629,NE,2016,2.100071428571429
630,NH,1996,2.5431818181818184
631,NH,1997,2.160681818181818
632,NH,1998,2.4210294117647058
633,NH,1999,2.592608695652174
634,NH,2000,3.248888888888889
635,NH,2001,2.000952380952382
636,NH,2002,3.0972368421052625
637,NH,2003,2.7899999999999996
638,NH,2004,3.1700000000000004
639,NH,2005,3.6454761904761916
640,NH,2006,3.1771186440677965
641,NH,2007,3.0520895522388063
642,NH,2008,4.088311688311687
643,NH,2009,3.4564516129032237
644,NH,2010,3.3936111111111114
645,NH,2011,3.7485185185185173
646,NH,2012,2.8982568807339453
647,NH,2013,3.1674999999999995
648,NH,2014,3.4747747747747746
649,NH,2015,3.0122222222222224
650,NH,2016,2.9612121212121214
651,NJ,1996,5.1049999999999995
652,NJ,1997,3.2008333333333336
653,NJ,1998,2.3470967741935485
654,NJ,1999,2.8261052631578942
655,NJ,2000,2.71111111111111
656,NJ,2001,2.2003361344537815
657,NJ,2002,3.3047663551401882
658,NJ,2003,3.8951428571428566
659,NJ,2004,3.2472727272727253
660,NJ,2005,3.496380952380951
661,NJ,2006,3.9336144578313252
662,NJ,2007,3.894193548387097
663,NJ,2008,3.5111818181818197
664,NJ,2009,4.213801652892563
665,NJ,2010,3.242916666666667
666,NJ,2011,4.544833333333331
667,NJ,2012,3.2937288135593237
668,NJ,2013,3.3305042016806734
669,NJ,2014,3.525901639344262
670,NJ,2015,2.9195934959349583
671,NJ,2016,3.2262280701754382
672,NM,1996,0.7258823529411762
673,NM,1997,0.8659615384615384
674,NM,1998,0.5745744680851065
675,NM,1999,0.5085148514851484
676,NM,2000,0.8394680851063828
677,NM,2001,0.7086227544910179
678,NM,2002,0.7338562091503269
679,NM,2003,0.5211224489795919
680,NM,2004,1.0399342105263158
681,NM,2005,0.7137888198757761
682,NM,2006,0.902340425531915
683,NM,2007,0.8508148148148151
684,NM,2008,0.9023376623376628
685,NM,2009,0.7695402298850573
686,NM,2010,1.1086910994764403
687,NM,2011,0.6104020100502512
688,NM,2012,0.4819327731092437
689,NM,2013,0.8150877192982457
690,NM,2014,0.779730941704036
691,NM,2015,1.2052752293577982
692,NM,2016,0.8934433962264159
693,NV,1996,0.4468571428571429
694,NV,1997,0.40810810810810816
695,NV,1998,0.7347619047619051
696,NV,1999,0.23301369863013704
697,NV,2000,0.4152941176470589
698,NV,2001,0.36093023255813966
699,NV,2002,0.25181818181818194
700,NV,2003,0.5414492753623188
701,NV,2004,0.5923584905660378
702,NV,2005,0.7420000000000001
703,NV,2006,0.4654999999999998
704,NV,2007,0.416198347107438
705,NV,2008,0.2997810218978102
706,NV,2009,0.44945945945945953
707,NV,2010,0.6953987730061351
708,NV,2011,0.46849673202614395
709,NV,2012,0.4808387096774194
710,NV,2013,0.42058441558441567
711,NV,2014,0.4896794871794873
712,NV,2015,0.6537254901960784
713,NV,2016,0.601372549019608
714,NY,1996,4.071698113207548
715,NY,1997,2.945391304347827
716,NY,1998,2.4602824858757075
717,NY,1999,2.20326923076923
718,NY,2000,2.7314999999999996
719,NY,2001,2.324969696969695
720,NY,2002,2.934082278481011
721,NY,2003,3.210246305418719
722,NY,2004,3.181603773584906
723,NY,2005,3.2283121019108276
724,NY,2006,3.43509881422925
725,NY,2007,2.9790943396226406
726,NY,2008,3.363416927899688
727,NY,2009,3.1139265536723175
728,NY,2010,3.0179564032697574
729,NY,2011,3.8558870967741896
730,NY,2012,2.6954054054054066
731,NY,2013,3.028964577656678
732,NY,2014,3.0548767123287677
733,NY,2015,2.7726038781163442
734,NY,2016,2.558419540229886
735,OH,1996,2.520434782608696
736,OH,1997,2.3370085470085464
737,OH,1998,2.5201673640167344
738,OH,1999,1.9405035971223015
739,OH,2000,2.7682882882882884
740,OH,2001,2.6045980707395464
741,OH,2002,2.7475352112676066
742,OH,2003,2.715611111111111
743,OH,2004,2.9822183098591557
744,OH,2005,2.866845878136199
745,OH,2006,3.1787610619469007
746,OH,2007,2.969794238683128
747,OH,2008,3.0201403508771927
748,OH,2009,2.6355305466237944
749,OH,2010,2.616089743589744
750,OH,2011,3.866935483870967
751,OH,2012,2.7549677419354843
752,OH,2013,3.090551948051948
753,OH,2014,2.7386084142394846
754,OH,2015,3.0810289389067513
755,OH,2016,2.7195578231292528
756,OK,1996,2.07948717948718
757,OK,1997,1.708620689655173
758,OK,1998,1.7595424836601306
759,OK,1999,1.992792207792208
760,OK,2000,2.4982677165354343
761,OK,2001,1.5603932584269657
762,OK,2002,2.2504878048780506
763,OK,2003,1.7576923076923079
764,OK,2004,2.4106666666666654
765,OK,2005,1.6942372881355916
766,OK,2006,1.7389430894308948
767,OK,2007,2.928661971830986
768,OK,2008,2.7079999999999993
769,OK,2009,2.4516019417475725
770,OK,2010,2.223377777777778
771,OK,2011,1.6042543859649125
772,OK,2012,1.7506140350877204
773,OK,2013,2.461233480176211
774,OK,2014,1.8640088105726869
775,OK,2015,3.2783333333333364
776,OK,2016,1.9998611111111109
777,OR,1996,4.126190476190475
778,OR,1997,2.56605504587156
779,OR,1998,2.7274999999999987
780,OR,1999,2.4586057692307692
781,OR,2000,1.8428089887640455
782,OR,2001,1.7650793650793648
783,OR,2002,1.411652892561984
784,OR,2003,2.7025324675324685
785,OR,2004,1.4657024793388442
786,OR,2005,2.08050980392157
787,OR,2006,2.7647368421052634
788,OR,2007,2.0492344497607644
789,OR,2008,1.5217842323651454
790,OR,2009,1.7501865671641772
791,OR,2010,2.4938811188811183
792,OR,2011,1.9088850174216012
793,OR,2012,2.674251700680272
794,OR,2013,1.418542372881356
795,OR,2014,2.150666666666666
796,OR,2015,2.0137966101694915
797,OR,2016,2.204429065743944
798,PA,1996,4.179318181818181
799,PA,1997,2.606371681415928
800,PA,1998,2.5611450381679384
801,PA,1999,2.822197802197802
802,PA,2000,2.802265193370164
803,PA,2001,2.407912087912089
804,PA,2002,3.090912698412699
805,PA,2003,3.330375
806,PA,2004,3.7898809523809533
807,PA,2005,2.9520446096654247
808,PA,2006,3.4858031088082915
809,PA,2007,3.1990666666666687
810,PA,2008,3.3460370370370387
811,PA,2009,3.272093023255813
812,PA,2010,3.133709677419353
813,PA,2011,4.334103448275865
814,PA,2012,3.1734146341463414
815,PA,2013,3.2133333333333325
816,PA,2014,3.4047902097902107
817,PA,2015,3.20638596491228
818,PA,2016,2.833283582089552
819,RI,1996,4.600909090909091
820,RI,1997,2.7372727272727277
821,RI,1998,4.0025
822,RI,1999,2.913333333333333
823,RI,2000,3.708888888888889
824,RI,2001,3.020555555555555
825,RI,2002,3.4057575757575758
826,RI,2003,3.9428571428571426
827,RI,2004,3.616969696969697
828,RI,2005,4.506249999999999
829,RI,2006,3.8110714285714278
830,RI,2007,3.1886206896551723
831,RI,2008,3.9328571428571415
832,RI,2009,4.0665853658536575
833,RI,2010,4.104655172413794
834,RI,2011,4.184499999999999
835,RI,2012,3.0045000000000006
836,RI,2013,3.225333333333334
837,RI,2014,3.4521666666666673
838,RI,2015,3.324107142857143
839,RI,2016,3.2619298245614035
840,SC,1996,3.7195454545454534
