description,units,source key,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16
Average cost of fossil fuels for electricity generation (per Btu) for petroleum liquids,dollars per million Btu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan : all sectors,,ELEC.COST_BTU.PEL-MI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-MI-98.M,15.72,19.1,19.87,23.11,W,22.81,W,20.29,21.96,19.77,15.07,11.07,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,NM,20.31,W,24.31,23.55,23.24,23.37,22.15,22.74,22.9,23.86,NM,21.39,22.08,25.01,23.37,22.47,20.95,21.4,23.72,24.06,W,23.44,22.46,22.36,25.24,22.75,22.62,23.17,22.23,W,22.48,23.02,21.95,22.38,21.76,22.1,23.8,22.77,22.48,21.99,21.89,21.93,21.08,20.55,20.29,20.56,14.78,11.97,13.82,13.36,13.42,14.92,14.45,13.05,11.84,12.65,13.76,10.99,8.87,7.64,8.24,9.19,10.03,11.53,12.15,10.74,11.24,11.61,12.39,11.07
Michigan : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-MI-1.M,15.72,19.1,19.87,23.11,24.53,22.81,18.41,20.29,21.96,19.77,15.07,11.07,9.35,9.08,8.65,7.76,9.79,8.16,10.27,11.17,12.42,13.69,12.72,13.59,NM,NM,NM,17.25,15.78,16.1,15.94,16.5,16.68,17.54,NM,NM,NM,20.31,22.87,24.31,23.55,23.24,23.37,22.15,22.74,22.9,23.86,NM,21.39,22.08,25.01,23.37,22.47,20.95,21.4,23.72,24.06,24.41,23.44,22.46,22.36,25.24,22.75,22.62,23.17,22.23,22.57,22.48,23.02,21.95,22.38,21.76,22.1,23.8,22.77,22.48,21.99,21.89,21.93,21.08,20.55,20.29,20.56,14.78,11.97,13.82,13.36,13.42,14.92,14.45,13.05,11.84,12.65,13.76,10.99,8.87,7.64,8.24,9.19,10.03,11.53,12.15,10.74,11.24,11.61,12.39,11.07
Michigan : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-MI-94.M,0,0,0,0,W,0,W,0,0,0,0,0,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,,ELEC.COST_BTU.PEL-OH-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio : all sectors,,ELEC.COST_BTU.PEL-OH-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-OH-98.M,W,W,W,W,27.41,W,30.1,23.34,W,W,W,W,W,9.86,W,11.06,W,W,W,W,14.14,W,W,14.97,15.62,W,16.38,17.11,16.12,15.68,16.19,W,16.76,W,W,18.96,19.69,W,22.74,24.24,W,23.29,W,22.54,W,W,22.64,22.02,22.44,23.03,25.35,W,22.96,21.06,21.39,24.03,23.96,24.39,W,22.98,W,24.6,23.38,22.94,22.56,W,21.9,23.69,W,23.42,22.69,22.38,W,25.74,26.71,24.23,24.76,23.5,22.44,21.86,21.7,20.39,22.49,15.49,12.61,W,16.02,13.7,W,15.95,12.94,11.91,12.37,W,12.12,W,W,W,W,10.22,13.82,12.34,11.21,10.8,9.92,W,12.06
Ohio : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-OH-1.M,19.34,19.56,21.15,22.67,27.41,26.8,28.24,23.14,22.67,18.49,14.51,11.5,11.02,9.83,10.74,11.06,11.49,13.69,12.66,14.24,14.24,15.76,15.25,14.78,NM,15.75,16.32,17.41,16.01,15.64,16.32,16.76,16.77,17.21,18.59,18.96,19.67,20.8,23.21,24.32,22.59,23.35,23.62,22.51,22.85,22.19,22.6,22.03,22.42,22.99,25.11,24.28,22.47,21.11,21.19,24.05,23.95,24.43,24.93,22.93,22.21,24.45,23.44,22.94,22.65,21.74,21.83,23.73,23.29,23.61,22.66,22.34,23.2,26.05,25,24.41,29.33,23.83,22.39,22.35,21.76,21.27,23.26,18.3,12.69,14.46,16.15,13.65,15.78,15.08,13.51,12.38,12.42,13.46,12.67,9.05,7.98,9.06,10.3,9.9,11.44,12.78,11.25,11.48,11.54,12.92,11.17
Ohio : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-OH-94.M,W,W,W,W,27.47,W,35.88,24.33,W,W,W,W,W,10.27,W,11.07,W,W,W,W,13.92,W,W,17.18,16.44,W,16.43,16.79,16.58,15.99,15.6,W,16.62,W,W,18.95,NM,W,20.19,23.37,W,22.65,W,22.7,W,W,22.97,21.94,22.62,23.2,25.82,W,23.59,20.62,21.76,23.88,24.06,24.12,W,23.5,W,24.97,23.06,22.94,22.17,W,22.05,23.55,W,22.98,22.87,22.66,W,25.68,27.06,23.67,22.62,22.89,22.47,21.73,21.58,20.15,21.32,14.89,12.59,W,15.62,13.87,W,16.54,12.7,11.68,12.27,W,11.53,W,W,W,W,10.5,14.36,12,11.21,10.62,9.43,W,12.78
Wisconsin,,ELEC.COST_BTU.PEL-WI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin : all sectors,,ELEC.COST_BTU.PEL-WI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-WI-98.M,W,W,W,6.74,W,W,26.3,W,24.03,W,W,W,11.21,W,W,10.98,10.87,13.99,12.59,14.86,W,W,W,W,W,14.8,W,W,W,W,W,W,W,W,W,W,W,NM,W,W,NM,W,W,W,W,W,W,W,21.3,20.69,19.93,23.28,23.42,20.41,21.45,W,23.73,23.43,W,22.53,22.69,23.54,W,22.75,22.45,21.25,W,22.23,24.31,22.24,22.39,W,21.67,23.61,W,22.86,22.66,W,W,21.3,22.18,W,W,18.36,15.61,15.79,26.12,13.23,13.37,14.92,W,W,12.68,11.87,13.42,8.91,16.71,8.82,14.13,10.07,10.82,11.64,11.42,11.31,W,0,11.01
Wisconsin : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-WI-1.M,17.5,20.39,22.34,6.74,25.78,26.51,26.3,24.26,24.03,21.3,23.18,8.31,11.21,10.74,8.4,10.98,10.87,13.99,12.59,14.86,14.79,15.3,15.81,15.41,NM,14.8,15.52,18.32,17.34,16.23,15.8,15.98,16.29,NM,18,18.79,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,21.3,20.69,19.93,23.28,23.42,20.41,21.45,21.89,23.73,23.43,23.67,22.53,22.69,23.54,23.72,22.75,22.45,21.25,21.7,22.23,24.31,22.24,22.39,22.07,21.67,23.61,24.04,22.86,22.66,21.54,21.27,21.3,22.18,20.12,21.86,18.36,15.61,15.79,26.12,13.23,13.37,14.92,31.61,14.62,12.68,11.87,13.42,8.91,16.71,8.82,14.13,10.07,10.82,11.64,11.42,11.31,11.52,0,11.01
Wisconsin : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-WI-94.M,W,W,W,0,W,W,0,W,0,W,W,W,0,W,W,0,0,0,0,0,W,W,W,W,W,0,W,W,W,W,W,W,W,W,W,W,W,0,W,W,0,W,W,W,W,W,W,W,0,0,0,0,0,0,0,W,0,0,W,0,0,0,W,0,0,0,W,0,0,0,0,W,0,0,W,0,0,W,W,0,0,W,W,0,0,0,0,0,0,0,W,W,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0
West North Central,,ELEC.COST_BTU.PEL-WNC-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West North Central : all sectors,,ELEC.COST_BTU.PEL-WNC-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West North Central : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-WNC-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,NM,20.89,23.25,24.37,23.43,23.01,23.14,21.66,W,22.05,23.91,21.65,21.24,22.53,23.92,22.78,22.31,20.52,21.41,22.02,23.25,24.74,23.22,22.28,22.05,23.98,23.23,22.46,22.49,21.25,22.49,23.12,23.41,22.63,22.62,22.33,21.79,22.77,23.06,22.55,22.38,W,21.94,21.85,20.93,W,20.61,16.09,11.51,14.57,13.41,13.02,14.65,14.03,13.25,13.01,12.16,10.89,12.12,9.46,7.7,7.89,9.1,9.04,10.95,11.42,11.16,11.21,12.63,W,10.93
West North Central : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-WNC-1.M,20.08,20.49,23.36,25.45,28.26,24.43,28.33,25.41,24.29,19.39,15.09,10.57,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,20.89,23.25,24.36,23.42,23,23.13,21.65,22.49,22.04,23.91,21.62,21.24,22.53,23.92,22.78,22.31,20.52,21.41,22.02,23.25,24.74,23.22,22.28,22.05,23.98,23.23,22.46,22.49,21.25,22.49,23.12,23.41,22.63,22.62,22.33,21.79,22.77,23.06,22.55,22.38,22.36,21.94,21.85,20.93,20.49,20.61,16.09,11.51,14.57,13.41,13.02,14.65,14.03,13.25,13.01,12.16,10.89,12.12,9.46,7.7,7.89,9.1,9.04,10.95,11.42,11.16,11.21,12.63,12.34,10.93
West North Central : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-WNC-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,NM,NM,NM,NM,NM,NM,NM,NM,W,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0
Iowa,,ELEC.COST_BTU.PEL-IA-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa : all sectors,,ELEC.COST_BTU.PEL-IA-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-IA-98.M,W,W,W,26.17,28.46,W,28.89,W,W,W,15.65,W,NM,W,W,10.47,11.81,W,W,W,W,15.23,W,W,NM,W,W,W,W,15.69,W,W,W,W,17.91,W,W,W,23.1,W,23.57,23.1,23.85,W,22.87,W,W,W,21.56,23.11,23.91,23.6,22.42,22.83,21.82,24.26,23.86,25.75,22.4,22.44,22.67,24.24,22.9,23.16,22.43,19.96,22.31,22.76,23.02,22.61,22.26,22.22,21.93,23.23,22.65,22.51,22.55,21.89,21.94,21.57,20.53,20.76,20.85,16.42,11.43,13.65,13.95,13.28,14.74,13.85,12.93,11.84,11.91,11.93,12.26,9.4,7.89,8.24,10.3,8.06,11.05,11.53,10.92,11.07,14.69,12.55,11.14
Iowa : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-IA-1.M,20.08,21.47,23.34,26.2,28.44,19.97,28.88,26.15,23.94,22.36,15.57,11.41,NM,9.42,10.71,10.46,11.8,13.52,12.97,14.51,13.94,15.23,15.34,14.67,NM,15.08,16.23,17.02,16.59,15.59,15.87,15.96,16.39,17.02,17.91,18.57,NM,21.17,23.1,24.71,23.52,23.07,23.82,22.27,22.83,22.1,24.46,21.66,21.56,23.11,23.91,23.6,22.42,22.83,21.82,24.26,23.86,25.75,22.4,22.44,22.67,24.24,22.9,23.16,22.43,19.96,22.31,22.76,23.02,22.61,22.26,22.22,21.93,23.23,22.65,22.51,22.55,21.89,21.94,21.57,20.53,20.76,20.85,16.42,11.43,13.65,13.95,13.28,14.74,13.85,12.93,11.84,11.91,11.93,12.26,9.4,7.89,8.24,10.3,8.06,11.05,11.53,10.92,11.07,14.69,12.55,11.14
Iowa : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-IA-94.M,W,W,W,25.65,28.82,W,29.18,W,W,W,17.21,W,NM,W,W,NM,NM,W,W,W,W,NM,W,W,NM,W,W,W,W,NM,W,W,W,W,NM,W,W,W,NM,W,NM,NM,NM,W,NM,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,,ELEC.COST_BTU.PEL-KS-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas : all sectors,,ELEC.COST_BTU.PEL-KS-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-KS-98.M,19.12,20.26,23.62,25.27,28.66,28.2,27.76,24.55,23.6,18.69,15.4,11.05,11.32,9.13,W,11.33,NM,NM,12.62,14.82,14,15.2,NM,15.32,NM,14.64,16.39,17.36,16.01,16.02,17.21,16.57,16.37,17.07,18.05,18.78,NM,20.64,NM,NM,NM,NM,NM,NM,NM,22.23,NM,NM,22.23,23.25,0,24.01,21.98,17.78,21.94,24.41,24.84,24.92,25.21,22.78,22.53,23.79,22.96,21.8,22.3,21.8,22.62,23.97,21.88,21.64,22.96,22.01,21.78,22.48,22.66,22.49,22.2,21.74,22.7,21.67,20.61,20.21,19.6,15.66,11.66,14.33,12.76,12.88,14.71,0,13.09,12.2,11.93,11.54,11.38,9.8,7.68,0,0,0,10.96,11.7,11.73,0,11.87,0,10.89
Kansas : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-KS-1.M,19.12,20.26,23.62,25.27,28.66,28.2,27.76,24.55,23.6,18.69,15.4,11.05,11.32,9.13,10.59,11.33,NM,NM,12.62,14.82,14,15.2,NM,15.32,NM,14.64,16.39,17.36,16.01,16.02,17.21,16.57,16.37,17.07,18.05,18.78,NM,20.64,NM,NM,NM,NM,NM,NM,NM,22.23,NM,NM,22.23,23.25,0,24.01,21.98,17.78,21.94,24.41,24.84,24.92,25.21,22.78,22.53,23.79,22.96,21.8,22.3,21.8,22.62,23.97,21.88,21.64,22.96,22.01,21.78,22.48,22.66,22.49,22.2,21.74,22.7,21.67,20.61,20.21,19.6,15.66,11.66,14.33,12.76,12.88,14.71,0,13.09,12.2,11.93,11.54,11.38,9.8,7.68,0,0,0,10.96,11.7,11.73,0,11.87,0,10.89
Kansas : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-KS-94.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota,,ELEC.COST_BTU.PEL-MN-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota : all sectors,,ELEC.COST_BTU.PEL-MN-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-MN-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,24.3,24.17,24.81,24.98,23.33,21.1,22.56,25.12,25.46,25.2,23.71,23.87,22.91,25.2,23.87,23.3,23.43,22.52,22.66,23.09,23.77,22.69,23.41,22.7,20.88,22.9,23.75,23.85,22.91,W,22.06,22.25,21.21,W,21.64,18.5,12.18,14.45,13.57,14.19,14.62,14.1,13.78,12.78,13.09,13.68,13.15,7.74,9.71,9.01,9.7,10.19,11.29,11.79,11.4,11.62,11.69,W,11.94
Minnesota : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-MN-1.M,20.39,20.33,22.54,25.45,29.05,27.28,28.44,25.02,24.78,20.06,14.5,9.98,15.19,8.14,8.89,10.56,11.81,11.84,13.17,14.44,14.16,13.17,13.87,15.98,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,24.3,24.17,24.81,24.98,23.33,21.1,22.56,25.12,25.46,25.2,23.71,23.87,22.91,25.2,23.87,23.3,23.43,22.52,22.66,23.09,23.77,22.69,23.41,22.7,20.88,22.9,23.75,23.85,22.91,22.29,22.06,22.25,21.21,21.33,21.64,18.5,12.18,14.45,13.57,14.19,14.62,14.1,13.78,12.78,13.09,13.68,13.15,7.74,9.71,9.01,9.7,10.19,11.29,11.79,11.4,11.62,11.69,12.66,11.94
Minnesota : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-MN-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0
Missouri,,ELEC.COST_BTU.PEL-MO-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri : all sectors,,ELEC.COST_BTU.PEL-MO-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-MO-98.M,19.28,19.85,23.42,24.63,27.01,27.53,27.8,24.45,23.68,18.84,14.88,11.09,11.28,10.08,W,11.76,11.54,13.76,12.94,14.61,13.77,14.99,15.15,15.1,15.22,15.05,16.11,17.06,16.47,15.67,15.71,16.49,16.37,17.11,17.94,18.58,W,W,W,W,W,W,W,W,W,W,W,W,20.57,20.83,23.32,19.73,21.13,16.82,20.39,18.55,18.2,22.6,20.57,21.51,21.35,23.98,23.1,20.79,22.1,21.07,22.26,22.46,23.55,21.96,22.18,22.03,22.1,22.86,22.5,22.23,22.16,22.18,21.52,21.85,20.6,20.06,20.2,15.64,11.12,14.49,13.75,13.21,14.9,14.13,13.41,12.21,12.1,14.32,11.53,9.34,8.06,8.07,9.24,9.62,11.15,11.56,11.07,11.76,11.78,11.89,11.25
Missouri : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-MO-1.M,19.28,19.85,23.42,24.63,27.01,27.53,27.8,24.45,23.68,18.84,14.88,11.09,11.28,10.08,10.65,11.76,11.54,13.76,12.94,14.61,13.77,14.99,15.15,15.1,15.22,15.05,16.11,17.06,16.47,15.67,15.71,16.49,16.37,17.11,17.94,18.58,NM,20.63,22.74,23.68,22.8,23.12,22.23,20.53,20.2,20.56,22.44,21.14,20.57,20.83,23.32,19.73,21.13,16.82,20.39,18.55,18.2,22.6,20.57,21.51,21.35,23.98,23.1,20.79,22.1,21.07,22.26,22.46,23.55,21.96,22.18,22.03,22.1,22.86,22.5,22.23,22.16,22.18,21.52,21.85,20.6,20.06,20.2,15.64,11.12,14.49,13.75,13.21,14.9,14.13,13.41,12.21,12.1,14.32,11.53,9.34,8.06,8.07,9.24,9.62,11.15,11.56,11.07,11.76,11.78,11.89,11.25
Missouri : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-MO-94.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,,ELEC.COST_BTU.PEL-NE-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska : all sectors,,ELEC.COST_BTU.PEL-NE-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-NE-98.M,20.49,20.66,22.82,25.87,28.88,29.28,29.23,27.41,25.58,18.78,15.68,5.73,NM,NM,W,5.79,6.3,13.36,14.65,14.68,13.61,14.08,15.49,15.99,NM,15.71,NM,NM,17.69,16.31,NM,NM,NM,17.66,18.04,19.59,NM,NM,23.06,24.21,NM,23.3,NM,NM,NM,NM,24.51,21.59,20.05,23.77,23.89,23.88,22.38,19.13,22.67,24.33,26.23,24.46,23.86,0,22.32,24.04,22.54,22.22,22.21,21.76,22.06,23.42,23.75,21.96,22.15,22.18,21.95,22.03,22.92,22.03,22.02,22.75,21.98,0,21.26,20.71,20.49,20.36,0,0,0,0,0,0,0,22.03,0,0,13.47,9.33,0,0,0,9.96,0,11.71,0,11.37,0,13.74,0
Nebraska : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-NE-1.M,20.49,20.66,22.82,25.87,28.88,29.28,29.23,27.41,25.58,18.78,15.68,5.73,NM,NM,9.45,5.79,6.3,13.36,14.65,14.68,13.61,14.08,15.49,15.99,NM,15.71,NM,NM,17.69,16.31,NM,NM,NM,17.66,18.04,19.59,NM,NM,23.06,24.21,NM,23.3,NM,NM,NM,NM,24.51,21.59,20.05,23.77,23.89,23.88,22.38,19.13,22.67,24.33,26.23,24.46,23.86,0,22.32,24.04,22.54,22.22,22.21,21.76,22.06,23.42,23.75,21.96,22.15,22.18,21.95,22.03,22.92,22.03,22.02,22.75,21.98,0,21.26,20.71,20.49,20.36,0,0,0,0,0,0,0,22.03,0,0,13.47,9.33,0,0,0,9.96,0,11.71,0,11.37,0,13.74,0
Nebraska : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-NE-94.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota,,ELEC.COST_BTU.PEL-ND-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota : all sectors,,ELEC.COST_BTU.PEL-ND-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
